date,mmdd,month,day,weekday,temperature_c,abundance,description
2024-07-29,07-29,July,29,Monday,14.65,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-30,07-30,July,30,Tuesday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-31,07-31,July,31,Wednesday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-01,08-01,August,1,Thursday,10.45,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-02,08-02,August,2,Friday,25.7,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-03,08-03,August,3,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-04,08-04,August,4,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-05,08-05,August,5,Monday,17.15,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-06,08-06,August,6,Tuesday,18.8,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-07,08-07,August,7,Wednesday,14.5,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-08,08-08,August,8,Thursday,12.1,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-09,08-09,August,9,Friday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-10,08-10,August,10,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-11,08-11,August,11,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-12,08-12,August,12,Monday,16.0,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-13,08-13,August,13,Tuesday,13.3,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-14,08-14,August,14,Wednesday,15.7,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-15,08-15,August,15,Thursday,21.4,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-16,08-16,August,16,Friday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-17,08-17,August,17,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-18,08-18,August,18,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-19,08-19,August,19,Monday,24.9,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-20,08-20,August,20,Tuesday,23.95,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-21,08-21,August,21,Wednesday,18.35,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-22,08-22,August,22,Thursday,16.25,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-23,08-23,August,23,Friday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-24,08-24,August,24,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-25,08-25,August,25,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-26,08-26,August,26,Monday,25.4,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-27,08-27,August,27,Tuesday,21.6,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-28,08-28,August,28,Wednesday,16.0,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-29,08-29,August,29,Thursday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-30,08-30,August,30,Friday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-08-31,08-31,August,31,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-01,09-01,September,1,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-02,09-02,September,2,Monday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-03,09-03,September,3,Tuesday,17.3,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-04,09-04,September,4,Wednesday,15.1,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-05,09-05,September,5,Thursday,20.75,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-06,09-06,September,6,Friday,22.6,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-07,09-07,September,7,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-08,09-08,September,8,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-09,09-09,September,9,Monday,20.4,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
